train/rewards,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/actor_loss
-0.10749549,32640,0.07776356159307647,102.0,320,56,-9.23635513,581,0.001,432582,1.903273954110987
-0.06764971,33048,0.0710123562317926,102.0,324,56,-9.16042391,589,0.001,432990,1.8853715330946679
-0.0989226,33456,0.0538979506065302,102.0,328,56,-9.10308253,596,0.001,433398,1.8855093483831369
-0.09576616,33864,0.05151337864078289,102.0,332,56,-9.14418013,603,0.001,433806,1.8791455614800547
-0.10412795,34272,0.05780639153832168,102.0,336,56,-9.189480629999998,611,0.001,434214,1.8518595274756937
-0.09612625,34680,0.0740652667066338,102.0,340,56,-9.22179643,618,0.001,434622,1.8423484493704403
-0.07592864,35088,0.05316854038677525,102.0,344,56,-9.214183199999999,625,0.001,435030,1.8394917109433342
-0.10437714,35496,0.0660168639813349,102.0,348,56,-9.18846491,632,0.001,435438,1.8096424972309786
-0.10166148,35904,0.06941455305900936,102.0,352,56,-9.175552109999998,640,0.001,435846,1.8244302950653375
-0.09902967,36312,0.050544091568821496,102.0,356,56,-9.144696380000001,647,0.001,436254,1.809274766959396
-0.09108645,36720,0.07409879101403788,102.0,360,56,-9.11750931,654,0.001,436662,1.745858398138308
-0.09276959,37128,0.04472147794349082,102.0,364,56,-9.15116594,662,0.001,437070,1.8141768890268661
-0.101142436,37536,0.10672288121856457,102.0,368,56,-9.13626104,669,0.001,437478,1.7928804556528728
-0.09226289,37944,0.04779973997296218,102.0,372,56,-9.11987806,676,0.001,437886,1.7926486379960005
-0.11413319,38352,0.0468088546859137,102.0,376,56,-9.16609445,683,0.001,438294,1.7706341439602422
-0.110253245,38760,0.04575102770354087,102.0,380,56,-9.148243970000001,691,0.001,438702,1.7421918008841721
-0.096943885,39168,0.06847972551123331,102.0,384,56,-9.119157339999997,698,0.001,439110,1.7406061186509973
-0.0947232,39576,0.06627815648201196,102.0,388,56,-9.13591457,705,0.001,439518,1.7279528659932755
-0.061616916,39984,0.045704227328921355,102.0,392,56,-9.120200169999999,713,0.001,439926,1.7411322500191482
-0.0835146,40392,0.04265550483821654,102.0,396,56,-9.061830460000001,720,0.001,440334,1.6897467889037787
-0.10426587,40800,0.053212275564232296,102.0,400,56,-9.05281456,727,0.001,440742,1.6686081278557872
-0.07447872,41208,0.04464972954626907,102.0,404,56,-9.081487359999999,735,0.001,441150,1.663526553733676
-0.07979837,41616,0.027613846044165686,102.0,408,56,-9.080772560000002,742,0.001,441558,1.6584463960984175
-0.12063734,42024,0.061336483235708346,102.0,412,56,-9.1027671,749,0.001,441966,1.614957989430895
-0.12364503,42432,0.042184361936889736,102.0,416,56,-9.05700253,756,0.001,442374,1.6000374742582733
-0.10284924,42840,0.042708523804321885,102.0,420,56,-9.0896042,764,0.001,442782,1.6290524683746637
-0.0811657,43248,0.061724670993748544,102.0,424,56,-9.08309465,771,0.001,443190,1.5587409010120468
-0.094791785,43656,0.03499593480727544,102.0,428,56,-9.074189200000001,778,0.001,443598,1.5849492129157572
-0.09376087,44064,0.05125951096780744,102.0,432,56,-9.008378940000002,786,0.001,444006,1.5756211374320237
-0.08321216,44472,0.03560497197687772,102.0,436,56,-8.92512609,793,0.001,444414,1.53496832707349
-0.11737459,44880,0.03386257091701469,102.0,440,56,-8.88092368,800,0.001,444822,1.5648921587887932
-0.094184496,45288,0.04607822705863738,102.0,444,56,-8.819057860000001,808,0.001,445230,1.5474156117906757
-0.26829684,45696,0.048635980698700045,102.0,448,56,-8.890817160000001,815,0.001,445638,1.5491952405256384
-0.064661995,46104,0.03437249201769922,102.0,452,56,-8.86333467,822,0.001,446046,1.5331336166344436
-0.09070031,46512,0.04272250685950413,102.0,456,56,-8.88774508,830,0.001,446454,1.5184076743967392
-0.104636736,46920,0.04758326925209486,102.0,460,56,-8.85225728,837,0.001,446862,1.5260855450349695
-0.12135786,47328,0.030017665240402315,102.0,464,56,-8.85305297,844,0.001,447270,1.4928584426057105
-0.07707428,47736,0.05373160221486115,102.0,468,56,-8.828133099999999,852,0.001,447678,1.5188068385217703
-0.10762468,48144,0.06784368892583777,102.0,472,56,-8.83168037,859,0.001,448086,1.4731904595505958
-0.09562027,48552,0.038536035738812355,102.0,476,56,-8.754332600000001,866,0.001,448494,1.4607144991556804
-0.10255701,48960,0.03369563530591846,102.0,480,56,-8.74852804,873,0.001,448902,1.4643254396962184
-0.1021027,49368,0.02878623021373927,102.0,484,56,-8.787145680000002,881,0.001,449310,1.4135001313452626
-0.1487234,49776,0.02637375854001399,102.0,488,56,-8.79332145,888,0.001,449718,1.4249698554768282
-0.07451429,50184,0.05014489597513103,102.0,492,56,-8.77248451,895,0.001,450126,1.4354772965113323
-0.10309223,50592,0.06427341359713133,102.0,496,56,-8.77077963,903,0.001,450534,1.4092836029389326
-0.064951114,51000,0.031177909999136246,102.0,500,56,-8.768468239999999,910,0.001,450942,1.402547371153738
-0.17140874,51408,0.0274441669005718,102.0,504,56,-8.73525711,917,0.001,451350,1.3729856715482824
-0.087314695,51816,0.021559289295920263,102.0,508,56,-8.745862559999999,925,0.001,451758,1.3489588125079286
-0.22648962,52224,0.034224241376197076,102.0,512,56,-8.7031638,932,0.001,452166,1.3955585348839854
-0.1234484,52632,0.029659533106228885,102.0,516,56,-8.712224710000001,939,0.001,452574,1.344249545359144
-0.07605561,53040,0.04950669699567644,102.0,520,56,-8.672164959999998,947,0.001,452982,1.3670434554417927
-0.09897566,53448,0.030454566681702787,102.0,524,56,-8.69385593,954,0.001,453390,1.3394011562945796
-0.078037284,53856,0.030836590940096213,102.0,528,56,-8.695959620000002,961,0.001,453798,1.3575800119661818
-0.10563598,54264,0.044453373790590785,102.0,532,56,-8.6775121,968,0.001,454206,1.3537048265045764
-0.12470183,54672,0.024659404172744676,102.0,536,55,-8.644843219999998,976,0.001,454614,1.3329077818814445
-0.0919575,55080,0.03537763908103693,102.0,540,55,-8.614784329999999,983,0.001,455022,1.2892278853584738
-0.06921729,55488,0.03361421688825038,102.0,544,56,-8.63389766,990,0.001,455430,1.299682991177428
-0.096745625,55896,0.03908766163786983,102.0,548,55,-8.535733610000001,998,0.001,455838,1.2964315648172415
-0.06922016,56304,0.02089044356755182,102.0,552,55,-8.554903260000001,1005,0.001,456246,1.2945526931800095
-0.09541928,56712,0.025587505802475645,102.0,556,55,-8.548860850000002,1012,0.001,456654,1.276669137618121
-0.13855691,57120,0.045441385623359795,102.0,560,55,-8.54615375,1020,0.001,457062,1.2924096280453252
-0.056348186,57528,0.020569489956102974,102.0,564,55,-8.50291035,1027,0.001,457470,1.2485849810581582
-0.10311522,57936,0.018817179706221557,102.0,568,55,-8.53628509,1034,0.001,457878,1.2640567211543812
-0.10022937,58344,0.024460629450485986,102.0,572,55,-8.56151047,1042,0.001,458286,1.2473400270237642
-0.089351594,58752,0.020139518221292424,102.0,576,55,-8.60918421,1049,0.001,458694,1.2402474027053982
-0.11277936,59160,0.02656210120767355,102.0,580,55,-8.60915322,1056,0.001,459102,1.2092254465701533
-0.06313856,59568,0.01823399724283566,102.0,584,55,-8.611183360000002,1063,0.001,459510,1.2385281978868972
-0.08311243,59976,0.02961838017811305,102.0,588,55,-8.58086446,1071,0.001,459918,1.2265985058803184
-0.12264833,60384,0.019888695836176768,102.0,592,55,-8.642782380000002,1078,0.001,460326,1.2140415462793088
-0.10518459,60792,0.08591438232756712,102.0,596,55,-8.67392417,1085,0.001,460734,1.2365758196980345
-0.060784698,61200,0.019926941323587122,102.0,600,55,-8.71931774,1093,0.001,461142,1.2023921211560566
-0.0816021,61608,0.02523182647978412,102.0,604,55,-8.73689941,1100,0.001,461550,1.2323660570032455
