train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/rewards,time/fps,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates
0.001,208,-413.17409328,2420,-2.2069023,29,68.57570212550416,70304,338.0,36.058403834788756,69966
0.001,212,-393.81627377000007,2466,-1.7765229,29,67.42971873988766,71656,338.0,40.5579820553932,71318
0.001,216,-371.7438665,2512,-2.0839555,29,66.47344575690094,73008,338.0,39.40398133435898,72670
0.001,220,-356.8516207,2558,-1.947619,29,66.35686768300434,74360,338.0,30.237794653198424,74022
0.001,224,-350.01086108999993,2604,-1.7999405,29,65.08373639710557,75712,338.0,34.5453868829287,75374
0.001,228,-347.33126390999996,2650,-1.655711,29,64.24631586018398,77064,338.0,33.490918314668555,76726
0.001,232,-348.1411343400001,2695,-2.0493858,29,63.665044141238965,78416,338.0,35.44112085449625,78078
0.001,236,-346.85782151,2741,-1.7621158,29,63.09847277579223,79768,338.0,32.34417934107357,79430
0.001,240,-339.6169832599999,2787,-1.4577407,29,62.280110714703625,81120,338.0,37.82806568597196,80782
0.001,244,-327.35915703,2832,-2.0035737,29,61.36870098678318,82472,338.0,36.21848465987211,82134
0.001,248,-308.41737969999997,2878,-1.4248103,29,60.05735270934697,83824,338.0,31.072905100308933,83486
0.001,252,-291.67740184999997,2923,-1.7246606,29,59.48452882936015,85176,338.0,28.008249131885506,84838
0.001,256,-270.66661855999996,2969,-1.7137774,29,58.51209949741702,86528,338.0,27.493059743790937,86190
0.001,260,-252.17323044,3014,-1.6588123,29,57.95688809727776,87880,338.0,24.471792840393338,87542
0.001,264,-237.70835382,3060,-1.6663599,29,57.37417661226713,89232,338.0,24.94444043960797,88894
0.001,268,-226.33997991,3105,-1.5244384,29,56.54367031571428,90584,338.0,23.58838629017215,90246
0.001,272,-219.43773574000002,3450,-1.480128,26,55.540943416618035,91936,338.0,26.390670416623177,91598
0.001,276,-214.72881883,3747,-1.5951064,24,54.63008277938211,93288,338.0,24.14659763511116,92950
0.001,280,-210.39053031,3793,-1.497335,24,54.28434225229117,94640,338.0,24.39938370857013,94302
0.001,284,-207.39363370000004,3838,-1.3913772,25,53.61750678338948,95992,338.0,24.184468266526622,95654
0.001,288,-202.44889236999995,3883,-1.8500512,25,52.90949678138868,97344,338.0,23.914510647926104,97006
0.001,292,-198.78032529,3929,-1.2371321,25,52.010710157586274,98696,338.0,22.87280914628294,98358
0.001,296,-196.06179219999999,3974,-1.6818231,25,51.4365449713532,100048,338.0,23.06806537526599,99710
0.001,300,-192.95864455000003,4019,-1.5293602,25,50.97288797592976,101400,338.0,20.434965812242947,101062
0.001,304,-190.21882964,4190,-1.3263191,24,50.68278711081962,102752,338.0,22.176170185472838,102414
0.001,308,-187.94319281000003,4235,-1.4911314,24,49.98233364037508,104104,338.0,19.821571984940025,103766
0.001,312,-184.22246506000008,4281,-1.8259808,24,48.967779960858046,105456,338.0,23.064798804429863,105118
0.001,316,-182.08848140999999,4326,-1.4352326,24,48.22990500997509,106808,338.0,20.2706356083853,106470
0.001,320,-178.83831318,4371,-1.3290465,24,48.19307501076241,108160,338.0,16.710163059319264,107822
0.001,324,-175.51497472,4416,-1.3474911,24,47.48203722259702,109512,338.0,17.186422462294086,109174
0.001,328,-172.85674319,4461,-1.7376388,24,47.02499549910867,110864,338.0,19.610297483099988,110526
0.001,332,-168.94509553999995,4507,-1.3870943,24,46.28501226210735,112216,338.0,19.622619482187126,111878
0.001,336,-164.29883268,4552,-1.4062723,24,45.982659943710416,113568,338.0,14.523241106575057,113230
0.001,340,-159.63143179,4597,-1.372059,24,45.59852717472957,114920,338.0,17.265636985823953,114582
0.001,344,-155.32741993,4643,-1.3697629,25,45.472103389762566,116272,338.0,18.938268164911214,115934
0.001,348,-149.43829867,4689,-1.2196544,25,45.02091923550036,117624,338.0,17.981543706013607,117286
0.001,352,-143.12981684000002,4734,-1.4311261,25,44.926714947943154,118976,338.0,17.217079235251838,118638
0.001,356,-137.54322554,4781,-1.3951814,25,44.2809697664701,120328,338.0,19.26113552807351,119990
0.001,360,-132.25212305000002,4827,-1.3199294,25,44.10572361240725,121680,338.0,19.786864488082525,121342
0.001,364,-127.75743114000001,4874,-1.158668,25,43.517745587952746,123032,338.0,19.884527770725228,122694
0.001,368,-124.63503964999998,4921,-1.2025673,25,43.039628858396995,124384,338.0,17.208930032493093,124046
0.001,372,-121.54123294999998,4968,-1.1984118,25,42.42989491569925,125736,338.0,16.530225161264635,125398
0.001,376,-118.27536549999999,5015,-1.6765956,25,42.31901159794373,127088,338.0,15.688588780764292,126750
0.001,380,-115.8045555,5063,-1.3659043,25,41.98856236384465,128440,338.0,14.37180803936614,128102
0.001,384,-113.51478664999999,5114,-0.99822325,25,41.46452956792166,129792,338.0,16.934344480728964,129454
0.001,388,-111.73323451999998,5161,-1.2388005,25,41.15071254933374,131144,338.0,14.010066877455401,130806
0.001,392,-110.70730987,5207,-1.4738659,25,40.48044256627912,132496,338.0,16.72906852403336,132158
0.001,396,-109.15804862,5253,-1.2476765,25,40.53071420432548,133848,338.0,12.991770835317803,133510
0.001,400,-107.38545142000002,5300,-1.2377492,25,39.97931640670144,135200,338.0,14.801105418854211,134862
0.001,404,-106.00410184999998,5346,-0.95078516,25,39.62650540594519,136552,338.0,13.218929069987416,136214
0.001,408,-105.00857860000002,5392,-1.3214045,25,39.45634248270791,137904,338.0,17.70553601705111,137566
0.001,412,-104.10571699,5438,-1.2948059,25,38.51556838898969,139256,338.0,11.647921009176581,138918
0.001,416,-103.30015992999999,5485,-1.3225958,25,38.59808081000514,140608,338.0,15.02694401444768,140270
0.001,420,-102.70107643999998,5531,-1.0553714,25,38.31484111808461,141960,338.0,12.924690730472994,141622
0.001,424,-102.20314940999997,5578,-0.8977381,25,37.53832769676073,143312,338.0,14.91872393238474,142974
0.001,428,-102.24421518000001,5625,-1.2813497,25,37.65412686139169,144664,338.0,12.760353086968145,144326
0.001,432,-102.16402553000002,5671,-0.9377923,25,36.89022401662973,146016,338.0,14.521936447662714,145678
0.001,436,-102.24935705,5717,-1.2146192,25,36.782539266101004,147368,338.0,15.876482549151019,147030
0.001,440,-102.44950372,5763,-1.1147805,25,36.62641244244999,148720,338.0,10.92661321939096,148382
0.001,444,-102.14535491999997,5810,-1.2406042,25,36.10532116184573,150072,338.0,14.487849625962726,149734
0.001,448,-101.76953118,5856,-1.0239627,25,36.31327518485707,151424,338.0,14.083974336025983,151086
0.001,452,-101.75242293,5903,-1.2438937,25,35.604983888434234,152776,338.0,14.446220307660527,152438
0.001,456,-102.20971899999999,5949,-1.0266784,25,35.06168765005981,154128,338.0,14.084892632340539,153790
0.001,460,-102.66007045,5995,-1.1653004,25,35.12037440869935,155480,338.0,12.305196906687945,155142
0.001,464,-102.64865110000001,6042,-0.85505915,25,35.45866651365743,156832,338.0,10.881204275689887,156494
0.001,468,-102.72565567000001,6088,-1.1632433,25,35.240858292438574,158184,338.0,12.963669431632793,157846
0.001,472,-102.97563388999998,6134,-1.117728,26,34.77043027708516,159536,338.0,10.34472208968281,159198
0.001,476,-103.3472299,6180,-1.2467998,26,34.752660311185394,160888,338.0,14.238577806032621,160550
0.001,480,-103.40075480000002,6226,-1.4702497,26,34.59312188413722,162240,338.0,12.375085111905838,161902
0.001,484,-103.13851384000002,6273,-1.0981131,26,34.40690700824444,163592,338.0,11.938090559293533,163254
0.001,488,-103.06789910000003,6319,-0.8960942,26,33.933185938547346,164944,338.0,15.117091221216867,164606
0.001,492,-102.47522787000004,6365,-0.9853637,26,33.85509712174094,166296,338.0,12.702707619003995,165958
0.001,496,-102.35340199000001,6411,-0.94441897,26,33.27748031164767,167648,338.0,12.810536379644857,167310
0.001,500,-102.38846538,6458,-1.0892402,26,32.86643475188306,169000,338.0,11.404699572091978,168662
0.001,504,-102.67505325,6504,-1.1589719,26,32.85620972672863,170352,338.0,10.062788488596855,170014
0.001,508,-102.84963338,6550,-0.9888868,26,32.35499991467719,171704,338.0,12.003288825940803,171366
0.001,512,-103.00889101000001,6596,-0.966244,26,32.23776511468831,173056,338.0,12.677934113338853,172718
0.001,516,-102.70865714,6641,-1.070269,26,32.39987759336212,174408,338.0,11.832962772549962,174070
0.001,520,-102.60838389999999,6688,-1.0452647,26,32.421761202388964,175760,338.0,12.757829487676451,175422
0.001,524,-102.75284078000003,6733,-1.0887698,26,32.091722770555485,177112,338.0,12.081065148291502,176774
0.001,528,-102.38533067,6780,-0.8494585,26,31.816977811282907,178464,338.0,11.766011076918721,178126
0.001,532,-101.95414505000001,6826,-0.8019741,26,32.174145252746946,179816,338.0,10.587692381362238,179478
0.001,536,-102.14520984999999,6873,-0.9622099,26,32.38248935676891,181168,338.0,14.274481258801455,180830
0.001,540,-102.31432192999999,6920,-1.0731066,26,31.947401746490296,182520,338.0,10.940744011359808,182182
0.001,544,-102.21930511,6968,-0.9307114,26,31.608788349219328,183872,338.0,10.851253739122809,183534
0.001,548,-102.42409559,7014,-1.2974969,26,31.263374655909793,185224,338.0,11.812331297693873,184886
0.001,552,-102.81875335999999,7060,-0.9762931,26,32.029030534642686,186576,338.0,10.13331605379398,186238
0.001,556,-102.90059021,7107,-0.7812736,26,31.29740412559735,187928,338.0,12.123543637744069,187590
0.001,560,-103.07438273999998,7154,-0.9530062,26,31.447861654518626,189280,338.0,12.829022458671819,188942
0.001,564,-103.40165189999999,7201,-0.9083021,26,31.370557367448978,190632,338.0,8.393199406431977,190294
0.001,568,-103.44766947000002,7248,-0.85481906,26,31.506327679876744,191984,338.0,9.593386958336689,191646
0.001,572,-103.66354299000001,7294,-1.0265166,26,30.842466659094455,193336,338.0,10.380490331254768,192998
0.001,576,-103.84148440999999,7345,-0.91892153,26,31.052659164519,194688,338.0,13.025323269987952,194350
0.001,580,-104.30657712,7391,-0.82368714,26,31.16958804384491,196040,338.0,11.767268214352738,195702
0.001,584,-104.97116454,7440,-0.892368,26,30.572006394877235,197392,338.0,10.691976827629924,197054
0.001,588,-105.89082951,7486,-0.87909126,26,30.65462131613105,198744,338.0,11.39222351862834,198406
0.001,592,-106.73164360000003,7532,-0.8382043,26,30.781908114280927,200096,338.0,10.664043925923004,199758
0.001,596,-107.67009436000001,7578,-1.2396977,26,30.309706185696392,201448,338.0,7.838443691208518,201110
0.001,600,-107.98652874999998,7627,-0.9401986,26,30.54048394874708,202800,338.0,12.01019144904684,202462
