rollout/ep_len_mean,rollout/ep_rew_mean,train/rewards,time/total_timesteps,time/fps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/critic_loss
102.0,-50.165920160000006,-1.4025022,26928,54,126888,264,39.31105512731216,492,0.001,41.46210547522003
102.0,-48.5250023,-1.18923,27336,54,127296,268,38.15821913176892,499,0.001,31.36525714631174
102.0,-47.21122931000001,-1.328667,27744,54,127704,272,37.60927192837584,506,0.001,35.10303624471029
102.0,-45.87839899000001,-1.4350364,28152,54,128112,276,37.24801014918907,514,0.001,40.106434990377984
102.0,-44.808742470000006,-1.574676,28560,54,128520,280,36.74524052937826,521,0.001,36.28979512756946
102.0,-44.30973942,-1.4438647,28968,54,128928,284,36.24054800295362,528,0.001,39.50931738872154
102.0,-43.591779689999996,-1.1263117,29376,54,129336,288,35.34765101414101,536,0.001,33.94378582169028
102.0,-42.827702120000005,-1.5461916,29784,54,129744,292,34.89839060166303,543,0.001,28.769602710125493
102.0,-43.38622925,-1.257018,30192,54,130152,296,34.32782760320925,550,0.001,26.67967078265022
102.0,-43.53649746,-1.4529243,30600,54,130560,300,33.96200569003236,558,0.001,25.535290975196688
102.0,-43.8784018,-1.4168465,31008,54,130968,304,33.42068668440277,565,0.001,27.41992028086793
102.0,-44.479973169999994,-1.1422734,31416,54,131376,308,33.09285672505697,572,0.001,32.36669900370579
102.0,-44.785397520000004,-1.3194858,31824,54,131784,312,32.534671820846256,580,0.001,34.45298763817432
102.0,-44.61655799999998,-1.1582518,32232,54,132192,316,31.91192638172823,587,0.001,26.733665695377425
102.0,-44.85189706999999,-1.0236019,32640,54,132600,320,31.39034102944767,595,0.001,23.784815439990922
102.0,-45.127474649999996,-1.0283486,33048,54,133008,324,31.327527102302103,602,0.001,20.803201948895175
102.0,-44.48680966,-1.0586057,33456,54,133416,328,30.564967398549996,609,0.001,26.017001364745347
102.0,-44.93237257,-1.315063,33864,54,133824,332,30.310825198304418,617,0.001,23.92168362935384
102.0,-44.24676691999999,-1.1077871,34272,54,134232,336,29.777902603149414,624,0.001,22.091333700161353
102.0,-43.347788120000004,-1.0891716,34680,54,134640,340,29.613667170206707,631,0.001,26.8285314616035
102.0,-41.832050310000014,-1.0686698,35088,54,135048,344,29.169553233127967,639,0.001,21.483625767277736
102.0,-40.97392415,-1.0149666,35496,54,135456,348,28.86185114991431,646,0.001,24.767919086942484
102.0,-40.353731829999994,-1.1087563,35904,54,135864,352,28.585494134940355,653,0.001,17.437270379533956
102.0,-39.40805073999999,-1.1975843,36312,54,136272,356,28.58454360213934,661,0.001,26.174736230981114
102.0,-38.784300179999995,-1.2145703,36720,54,136680,360,28.055882846607883,668,0.001,18.641263875306823
102.0,-38.05612174,-1.0642939,37128,54,137088,364,27.64304905311734,675,0.001,20.240645118788176
102.0,-37.31270103,-1.1459295,37536,54,137496,368,27.688592686372644,683,0.001,28.815573502989377
102.0,-36.76846844,-1.1136099,37944,54,137904,372,26.909964692358876,690,0.001,18.68729374221727
102.0,-35.63991939,-1.0679028,38352,54,138312,376,26.933263554292566,697,0.001,15.955053584248413
102.0,-35.04932459,-0.9828766,38760,54,138720,380,26.677716124291514,705,0.001,23.633687867837793
102.0,-34.48343209,-1.17392,39168,54,139128,384,26.443558936025582,712,0.001,20.181867933740804
102.0,-33.91368103,-0.9739693,39576,54,139536,388,26.383914311726887,720,0.001,17.754710765445935
102.0,-33.158877530000005,-1.2689496,39984,54,139944,392,26.14968090431363,727,0.001,16.151589820197984
102.0,-32.01258513,-0.8604332,40392,54,140352,396,25.65798983854406,734,0.001,17.80299078249464
102.0,-31.138779480000004,-0.8349897,40800,54,140760,400,25.319188286276425,742,0.001,14.583481945243536
102.0,-30.098825319999996,-0.95879966,41208,54,141168,404,25.254987604477826,749,0.001,22.257035488007116
102.0,-28.930791349999996,-0.97735083,41616,54,141576,408,25.045336218441236,756,0.001,13.777160743872324
102.0,-27.56556398,-0.894158,42024,54,141984,412,24.714330224429858,764,0.001,17.14597271119847
102.0,-26.741714610000002,-0.89756525,42432,55,142392,416,24.315827762379367,771,0.001,13.752203598910688
102.0,-25.90250630000001,-1.3576885,42840,55,142800,420,24.36534616058948,778,0.001,15.236486079646092
102.0,-24.808433049999998,-0.8666199,43248,55,143208,424,23.742701100368127,786,0.001,15.550594916530684
102.0,-24.37440773,-0.83694893,43656,55,143616,428,23.649085362752277,793,0.001,13.256073543838426
102.0,-23.106353679999998,-0.8181958,44064,55,144024,432,23.291299857345283,800,0.001,13.174512178290124
102.0,-22.566796650000004,-0.9290294,44472,55,144432,436,22.912849388870537,808,0.001,22.053331283962024
102.0,-22.145881439999993,-0.78425425,44880,55,144840,440,22.61454294242111,815,0.001,20.949327854549182
102.0,-21.7062189,-1.1175513,45288,55,145248,444,22.637267879411286,822,0.001,15.970004074713763
102.0,-21.141138839999993,-0.9126311,45696,55,145656,448,22.017648996091356,830,0.001,11.949209643345252
102.0,-20.57412462,-1.0882874,46104,55,146064,452,21.536885729023055,837,0.001,15.838656268867792
102.0,-19.74426353,-1.0646387,46512,55,146472,456,21.606733845729455,844,0.001,12.111399256715588
102.0,-18.822374989999997,-0.8810083,46920,55,146880,460,21.016705681295957,852,0.001,20.67499246784285
102.0,-18.19110868,-0.82985705,47328,55,147288,464,21.235320409138996,859,0.001,17.020685104762805
102.0,-17.491630869999998,-0.91068095,47736,55,147696,468,20.826003542133407,866,0.001,16.28652712878059
102.0,-16.78091814,-0.8561012,48144,55,148104,472,20.615482554716223,874,0.001,10.845647324534024
102.0,-16.37316251,-0.96240634,48552,55,148512,476,20.21051118888107,881,0.001,17.83089664636874
102.0,-15.671352749999999,-0.73462766,48960,55,148920,480,19.79774097367829,889,0.001,10.011702281587263
102.0,-15.142165529999998,-0.80353385,49368,55,149328,484,19.72809346516927,896,0.001,9.487625063634386
102.0,-14.76457534,-0.7988873,49776,55,149736,488,19.262448217354567,903,0.001,10.564086807709113
102.0,-14.392959069999996,-0.80752105,50184,55,150144,492,19.24633508570054,911,0.001,17.410416856700298
102.0,-14.2862049,-0.75437754,50592,55,150552,496,18.86898732652851,918,0.001,8.086303033080755
102.0,-14.169404380000001,-0.7769682,51000,55,150960,500,18.460948906692803,925,0.001,8.75053458704668
102.0,-13.927260019999999,-1.0214254,51408,55,151368,504,18.124619839238186,933,0.001,9.283455143956576
102.0,-13.600164610000002,-0.7161956,51816,55,151776,508,18.17456148184982,940,0.001,12.369925296774097
102.0,-13.3299675,-0.8230468,52224,55,152184,512,17.7515811920166,947,0.001,9.108115739682141
102.0,-13.03173693,-0.7966295,52632,55,152592,516,17.867812624164657,955,0.001,7.599476082652223
102.0,-12.647449290000003,-0.83587563,53040,55,153000,520,17.29505194869696,962,0.001,15.703612681697397
102.0,-12.310689470000002,-0.71641177,53448,55,153408,524,16.91469502916523,969,0.001,8.034275758500193
102.0,-11.94685515,-0.7027304,53856,55,153816,528,16.613242934731876,977,0.001,7.305045242403068
102.0,-11.63352708,-0.7707237,54264,55,154224,532,16.739948272705078,984,0.001,9.839518716522292
102.0,-11.363065560000003,-0.74834216,54672,55,154632,536,16.341741991978065,991,0.001,7.392821864754546
102.0,-11.23910743,-0.78876275,55080,55,155040,540,16.13151819565717,999,0.001,7.792632750436371
102.0,-11.147902339999998,-0.8146843,55488,55,155448,544,15.909128862268785,1006,0.001,13.384045149765763
102.0,-11.192373049999997,-1.3264067,55896,55,155856,548,15.867058641770306,1014,0.001,8.286226771625818
102.0,-11.184951990000004,-0.7933437,56304,55,156264,552,15.519195594039617,1021,0.001,7.432531063463173
102.0,-11.238755000000003,-0.8327683,56712,55,156672,556,15.259276764065612,1028,0.001,6.293842231526094
102.0,-11.24403569,-0.8659126,57120,55,157080,560,14.956331982332117,1036,0.001,6.727189744220061
102.0,-11.216995209999999,-1.1808976,57528,55,157488,564,14.785266240437826,1043,0.001,8.02239614725113
102.0,-11.04573508,-0.62642235,57936,55,157896,568,14.499883296442967,1050,0.001,6.317837492508047
102.0,-10.941333060000002,-0.6486247,58344,55,158304,572,14.427904316023284,1058,0.001,8.413840445817685
102.0,-10.980078440000002,-0.57936704,58752,55,158712,576,14.110100933149749,1065,0.001,6.3840164057179996
102.0,-11.031177360000001,-0.64567375,59160,55,159120,580,13.852471576017493,1072,0.001,12.699054441031288
102.0,-11.05243645,-0.89945036,59568,55,159528,584,13.626092144087249,1080,0.001,6.435458348077886
102.0,-11.018702359999999,-0.7237491,59976,55,159936,588,13.3093895444683,1087,0.001,5.331754978965311
102.0,-11.099618359999997,-0.6056975,60384,55,160344,592,13.147560474919338,1095,0.001,6.6897022104730794
102.0,-11.06207256,-0.6822723,60792,55,160752,596,13.162893669278015,1102,0.001,10.964027563146516
102.0,-10.991109499999999,-0.5685665,61200,55,161160,600,13.231291247349159,1109,0.001,5.545016208115746
102.0,-10.855308299999997,-0.5108425,61608,55,161568,604,12.744964206919951,1117,0.001,4.9262261232909035
102.0,-10.816889719999999,-0.69275254,62016,55,161976,608,12.820127861172546,1124,0.001,5.5252429165092165
102.0,-10.798252130000002,-0.6029405,62424,55,162384,612,12.400879822525324,1131,0.001,4.254452632922752
