time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.4355347425329919,3389,190128,-0.061880372,290088,0.001,1864,102.0,0.0015554754714043263,-7.961934029999998
56,0.4357488707584493,3397,190536,-0.036830913,290496,0.001,1868,102.0,0.0016662092508768717,-7.939779730000001
56,0.4058399726362789,3404,190944,-0.07824543,290904,0.001,1872,102.0,0.0016793494305959173,-7.939042270000001
56,0.4341812645103417,3411,191352,-0.058552634,291312,0.001,1876,102.0,0.0019197151140200302,-7.906270910000001
56,0.4662347617102604,3418,191760,-0.06208391,291720,0.001,1880,102.0,0.001993181881427482,-7.892992380000001
56,0.4469737603383906,3425,192168,-0.073215224,292128,0.001,1884,102.0,0.0014183027572774638,-7.9361964999999985
56,0.451792888489424,3432,192576,-0.09495095,292536,0.001,1888,102.0,0.001763071719466882,-7.94412638
56,0.44227369830888863,3440,192984,-0.074770115,292944,0.001,1892,102.0,0.0015472762104621449,-7.95718901
56,0.46256784510378746,3447,193392,-0.054066177,293352,0.001,1896,102.0,0.0017299000449152208,-7.972375830000001
56,0.44420425739942815,3454,193800,-0.06396392,293760,0.001,1900,102.0,0.00152770016889097,-7.99446384
56,0.4472578839928496,3461,194208,-0.09981323,294168,0.001,1904,102.0,0.0014684292999685138,-7.995807150000001
56,0.4215835572457781,3468,194616,-0.09402878,294576,0.001,1908,102.0,0.0013951272036031108,-7.971472169999999
56,0.46903833016461016,3476,195024,-0.08063798,294984,0.001,1912,102.0,0.0017213103127170482,-7.984151049999998
56,0.4402200378039304,3483,195432,-0.08432822,295392,0.001,1916,102.0,0.0012757404162816693,-7.994126410000002
56,0.45158153012687086,3490,195840,-0.114386275,295800,0.001,1920,102.0,0.0013893581404665705,-7.988901560000001
56,0.4594793687848484,3497,196248,-0.076334246,296208,0.001,1924,102.0,0.0017060028249569073,-7.919337610000001
56,0.43859419606479944,3504,196656,-0.08855807,296616,0.001,1928,102.0,0.0011843522394580457,-7.923668029999999
56,0.43070264423594756,3511,197064,-0.084934205,297024,0.001,1932,102.0,0.001417721702869041,-7.95513671
56,0.4549744719383763,3518,197472,-0.10808693,297432,0.001,1936,102.0,0.0015247551685509582,-7.9632454500000005
