train/learning_rate,time/fps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,train/rewards,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean
0.001,18,5129,276,693238,10.169836571936072,93288,-0.25688347,-93.81433754,0.006698227852593953,338.0
0.001,18,5174,280,694590,10.224230089131192,94640,-0.2714106,-93.40795737999998,0.006442240885040067,338.0
0.001,18,5218,284,695942,10.381250996561445,95992,-0.27445513,-93.28020595,0.006204321975654443,338.0
0.001,18,5263,288,697294,10.039746137765738,97344,-0.28529304,-92.99009812,0.006626126255162236,338.0
0.001,18,5307,292,698646,10.09696123021594,98696,-0.26430365,-92.77026460000003,0.006474000634625554,338.0
0.001,18,5352,296,699998,10.29030063166421,100048,-0.289381,-92.85161677999999,0.006270607401611361,338.0
0.001,18,5398,300,701350,10.074136567539012,101400,-0.2723076,-92.83306062,0.006066650587558393,338.0
0.001,18,5442,304,702702,10.317736182692489,102752,-0.25610173,-92.69144328000002,0.006697657434049355,338.0
0.001,18,5487,308,704054,10.181304446338903,104104,-0.27850398,-92.81439326000002,0.007214807374843743,338.0
0.001,19,5532,312,705406,10.126916493184467,105456,-0.29717436,-93.01621202,0.006870066153282332,338.0
0.001,19,5577,316,706758,10.135010146530423,106808,-0.2629299,-93.20681411000001,0.006480708334611497,338.0
0.001,19,5621,320,708110,10.120933261848766,108160,-0.2627815,-93.07382486,0.007789297098260836,338.0
0.001,19,5666,324,709462,10.384557695783807,109512,-0.24529983,-92.81113099000002,0.00593137779457704,338.0
0.001,19,5711,328,710814,10.364702416594918,110864,-0.30064672,-92.64861519,0.0060515521471691735,338.0
0.001,19,5757,332,712166,10.108921316248425,112216,-0.2767784,-92.53914306999997,0.005892583292346866,338.0
0.001,19,5803,336,713518,9.985632549376177,113568,-0.24603716,-92.45318567000002,0.006259711651467668,338.0
0.001,19,5848,340,714870,10.071488394539736,114920,-0.24993704,-92.34297735,0.00577375303110736,338.0
0.001,19,5893,344,716222,10.165100862288616,116272,-0.24317053,-92.45615926,0.005719573663398844,338.0
0.001,19,5939,348,717574,10.197942330287052,117624,-0.25695792,-92.01793684999998,0.006437508996917739,338.0
0.001,19,5983,352,718926,10.037020765112702,118976,-0.26990598,-91.87492573999998,0.005857611933348359,338.0
0.001,19,6028,356,720278,10.02457587958793,120328,-0.2639926,-92.11081347,0.005594311074695423,338.0
0.001,19,6394,360,721630,10.20257367749186,121680,-0.2996484,-92.09058661,0.005171109422815402,338.0
0.001,9,13577,364,722982,10.19260252721211,123032,-0.26539308,-91.84629274,0.00586121613793516,338.0
0.001,8,14853,368,724334,10.166896746708797,124384,-0.22213806,-92.00238366000002,0.00527036444011238,338.0
0.001,8,14897,372,725686,10.258781241241996,125736,-0.28479484,-92.23728719,0.005513676500757991,338.0
0.001,8,14941,376,727038,9.99424344689183,127088,-0.26156783,-92.27596262999998,0.006058203158404171,338.0
0.001,7,16265,380,728390,10.045062640714928,128440,-0.26828885,-92.35970813,0.005390634492298687,338.0
0.001,7,16309,384,729742,10.277662737129708,129792,-0.2614227,-92.47121516000001,0.005547932365677766,338.0
