time/episodes,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/rewards,train/learning_rate,train/critic_loss,train/n_updates,time/fps,time/time_elapsed
492,166296,338.0,40.235364067483935,-86.67923912000002,-0.97911954,0.001,36.56394229273824,165958,24,6877
496,167648,338.0,40.29381355872521,-86.76800547,-1.0004278,0.001,29.636688286736167,167310,24,6923
500,169000,338.0,40.37870999624038,-86.92807051000001,-1.0846013,0.001,33.99318091544879,168662,24,6969
504,170352,338.0,40.411355069403115,-87.33411661,-0.8190994,0.001,35.779956183489965,170014,24,7015
508,171704,338.0,39.34020664282804,-88.04268832999998,-1.6303159,0.001,38.106361760190254,171366,24,7062
512,173056,338.0,38.10359189637314,-88.80645702999999,-0.7884811,0.001,29.353688196317684,172718,24,7109
516,174408,338.0,38.31243157245704,-89.25862270999998,-0.67369497,0.001,36.43814884064466,174070,24,7155
520,175760,338.0,38.96861596643572,-89.64090393000001,-0.70750046,0.001,28.325713373500214,175422,24,7202
524,177112,338.0,38.42583321114264,-90.57777688,-0.8984625,0.001,27.08927125690957,176774,24,7248
528,178464,338.0,38.418239819227594,-91.14528289999998,-0.9388122,0.001,26.381508150044276,178126,24,7294
532,179816,338.0,38.33472818453637,-91.71395480999999,-0.870133,0.001,31.969559925547717,179478,24,7341
536,181168,338.0,38.43564005293084,-92.29186442,-1.2142737,0.001,27.230646614492294,180830,24,7387
540,182520,338.0,38.236247418194836,-92.90710926,-1.0906149,0.001,37.60398711819621,182182,24,7433
544,183872,338.0,38.313031382814664,-93.80929252000004,-0.80028814,0.001,25.324756807829502,183534,24,7479
548,185224,338.0,38.249442963910525,-94.74030013000001,-1.5300499,0.001,25.74156427665575,184886,24,7525
552,186576,338.0,37.98890162360739,-95.20499879000003,-1.0227479,0.001,27.655799963065153,186238,24,7571
556,187928,338.0,37.923799131043566,-95.85623835999999,-1.0004228,0.001,32.818833951413986,187590,24,7618
560,189280,338.0,37.00463994720278,-96.20644512000001,-1.1694331,0.001,28.20705569566354,188942,24,7664
564,190632,338.0,36.80333967039571,-97.28378199,-1.0639496,0.001,29.200685023908786,190294,24,7709
568,191984,338.0,37.17402584595088,-97.70771934,-1.5197327,0.001,42.84940670263133,191646,24,7755
572,193336,338.0,36.56295785396057,-98.35982683000002,-1.0605408,0.001,35.19835002605732,192998,24,7800
576,194688,338.0,36.642441089336685,-99.18101680999999,-1.1227938,0.001,30.248586450102767,194350,24,7846
580,196040,338.0,37.09061398026506,-99.89232059,-0.89474624,0.001,24.751813839878555,195702,24,7891
584,197392,338.0,36.89325349570731,-100.06830246,-1.0508152,0.001,32.61018898994965,197054,24,7938
588,198744,338.0,36.488283473359054,-100.20119381999999,-0.6479957,0.001,35.591315600293626,198406,24,7983
592,200096,338.0,36.828997922366895,-100.39591826,-1.5155287,0.001,21.999244770354775,199758,24,8029
